action,annotation_count,annotation_set_id,ayah_id,error_count,mode,protected_active_set_id,published,safe_to_persist,verse_key,warning_count
published_beta_candidate,39,191,95,0,ayah,,True,True,2:89,1
published_beta_candidate,39,192,95,0,wasl,,True,True,2:89,1
published_beta_candidate,33,193,96,0,ayah,,True,True,2:90,1
published_beta_candidate,33,194,96,0,wasl,,True,True,2:90,1
published_beta_candidate,39,195,97,0,ayah,,True,True,2:91,0
published_beta_candidate,39,196,97,0,wasl,,True,True,2:91,0
published_beta_candidate,17,197,98,0,ayah,,True,True,2:92,0
published_beta_candidate,17,198,98,0,wasl,,True,True,2:92,0
published_beta_candidate,43,199,99,0,ayah,,True,True,2:93,1
published_beta_candidate,43,200,99,0,wasl,,True,True,2:93,1
published_beta_candidate,26,201,100,0,ayah,,True,True,2:94,0
published_beta_candidate,26,202,100,0,wasl,,True,True,2:94,0
published_beta_candidate,15,203,101,0,ayah,,True,True,2:95,0
published_beta_candidate,15,204,101,0,wasl,,True,True,2:95,0
published_beta_candidate,32,205,102,0,ayah,,True,True,2:96,1
published_beta_candidate,32,206,102,0,wasl,,True,True,2:96,1
published_beta_candidate,18,207,103,0,ayah,,True,True,2:97,1
published_beta_candidate,18,208,103,0,wasl,,True,True,2:97,1
published_beta_candidate,21,209,104,0,ayah,,True,True,2:98,0
published_beta_candidate,21,210,104,0,wasl,,True,True,2:98,0
published_beta_candidate,17,211,105,0,ayah,,True,True,2:99,2
published_beta_candidate,17,212,105,0,wasl,,True,True,2:99,2
published_beta_candidate,16,213,106,0,ayah,,True,True,2:100,0
published_beta_candidate,16,214,106,0,wasl,,True,True,2:100,0
published_beta_candidate,38,215,107,0,ayah,,True,True,2:101,1
published_beta_candidate,38,216,107,0,wasl,,True,True,2:101,1
published_beta_candidate,88,217,108,0,ayah,,True,True,2:102,3
published_beta_candidate,88,218,108,0,wasl,,True,True,2:102,3
published_beta_candidate,17,219,109,0,ayah,,True,True,2:103,0
published_beta_candidate,17,220,109,0,wasl,,True,True,2:103,0
published_beta_candidate,26,221,110,0,ayah,,True,True,2:104,2
published_beta_candidate,26,222,110,0,wasl,,True,True,2:104,2
published_beta_candidate,34,223,111,0,ayah,,True,True,2:105,1
published_beta_candidate,34,224,111,0,wasl,,True,True,2:105,1
published_beta_candidate,21,225,112,0,ayah,,True,True,2:106,1
published_beta_candidate,21,226,112,0,wasl,,True,True,2:106,1
published_beta_candidate,24,227,113,0,ayah,,True,True,2:107,1
published_beta_candidate,24,228,113,0,wasl,,True,True,2:107,1
published_beta_candidate,24,229,114,0,ayah,,True,True,2:108,0
published_beta_candidate,24,230,114,0,wasl,,True,True,2:108,0
published_beta_candidate,43,231,115,0,ayah,,True,True,2:109,0
published_beta_candidate,43,232,115,0,wasl,,True,True,2:109,0
published_beta_candidate,28,233,116,0,ayah,,True,True,2:110,0
published_beta_candidate,28,234,116,0,wasl,,True,True,2:110,0
published_beta_candidate,25,235,117,0,ayah,,True,True,2:111,2
published_beta_candidate,25,236,117,0,wasl,,True,True,2:111,2
published_beta_candidate,15,237,118,0,ayah,,True,True,2:112,1
published_beta_candidate,15,238,118,0,wasl,,True,True,2:112,1
published_beta_candidate,41,239,119,0,ayah,,True,True,2:113,3
published_beta_candidate,41,240,119,0,wasl,,True,True,2:113,3
published_beta_candidate,42,241,120,0,ayah,,True,True,2:114,1
published_beta_candidate,42,242,120,0,wasl,,True,True,2:114,1
published_beta_candidate,20,243,121,0,ayah,,True,True,2:115,0
published_beta_candidate,20,244,121,0,wasl,,True,True,2:115,0
published_beta_candidate,19,245,122,0,ayah,,True,True,2:116,0
published_beta_candidate,19,246,122,0,wasl,,True,True,2:116,0
published_beta_candidate,19,247,123,0,ayah,,True,True,2:117,0
published_beta_candidate,19,248,123,0,wasl,,True,True,2:117,0
published_beta_candidate,34,249,124,0,ayah,,True,True,2:118,2
published_beta_candidate,34,250,124,0,wasl,,True,True,2:118,2
published_beta_candidate,15,251,125,0,ayah,,True,True,2:119,0
published_beta_candidate,15,252,125,0,wasl,,True,True,2:119,0
published_beta_candidate,31,253,126,0,ayah,,True,True,2:120,3
published_beta_candidate,31,254,126,0,wasl,,True,True,2:120,3
published_beta_candidate,21,255,127,0,ayah,,True,True,2:121,1
published_beta_candidate,21,256,127,0,wasl,,True,True,2:121,1
