ayah_id,surah_number,ayah_number,ayah_key,issue_type,severity,rule_code,word_index,word,reason,detail,raw_issue
13,2,7,2:7,audit_exception,error,,,,,TajwidAnnotationError: Render segment index 10 dimulai dengan combining mark.,"{""detail"": ""TajwidAnnotationError: Render segment index 10 dimulai dengan combining mark."", ""severity"": ""error"", ""type"": ""audit_exception""}"
14,2,8,2:8,suppressed_legacy_false_positive,warning,mad_lin,6,وَبِالْيَوْمِ,waqf_rule_requires_final_word,,"{""reason"": ""waqf_rule_requires_final_word"", ""rule_code"": ""mad_lin"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""وَبِالْيَوْمِ"", ""word_index"": 6}"
15,2,9,2:9,unlocatable_rule,error,mad_lazim_mukhaffaf,7,اَنْفُسَهُمْ,,,"{""rule_code"": ""mad_lazim_mukhaffaf"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""اَنْفُسَهُمْ"", ""word_index"": 7}"
15,2,9,2:9,unlocatable_rule,error,ikhfa_haqiqi,8,وَمَا,,,"{""rule_code"": ""ikhfa_haqiqi"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""وَمَا"", ""word_index"": 8}"
15,2,9,2:9,unlocatable_rule,error,izhar_syafawi,8,وَمَا,,,"{""rule_code"": ""izhar_syafawi"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""وَمَا"", ""word_index"": 8}"
15,2,9,2:9,unlocatable_rule,error,mad_silah_qasirah,8,وَمَا,,,"{""rule_code"": ""mad_silah_qasirah"", ""severity"": ""error"", ""type"": ""unlocatable_rule"", ""word"": ""وَمَا"", ""word_index"": 8}"
15,2,9,2:9,invalid_word_index,error,,10,يَشْعُرُوْنَۗ,,,"{""severity"": ""error"", ""type"": ""invalid_word_index"", ""word"": ""يَشْعُرُوْنَۗ"", ""word_index"": 10}"
16,2,10,2:10,suppressed_legacy_false_positive,warning,qalqalah_kubra,7,عَذَابٌ,qalqalah_kubra_requires_final_waqf,,"{""reason"": ""qalqalah_kubra_requires_final_waqf"", ""rule_code"": ""qalqalah_kubra"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""عَذَابٌ"", ""word_index"": 7}"
16,2,10,2:10,invalid_word_index,error,,13,يَكْذِبُوْنَ,,,"{""severity"": ""error"", ""type"": ""invalid_word_index"", ""word"": ""يَكْذِبُوْنَ"", ""word_index"": 13}"
17,2,11,2:11,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,7,قَالُوْٓا,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""قَالُوْٓا"", ""word_index"": 7}"
18,2,12,2:12,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,0,اَلَآ,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""اَلَآ"", ""word_index"": 0}"
19,2,13,2:13,suppressed_legacy_false_positive,warning,idgham_mutamatsilain,4,كَمَآ,mad_letter_cannot_be_idgham_trigger,,"{""reason"": ""mad_letter_cannot_be_idgham_trigger"", ""rule_code"": ""idgham_mutamatsilain"", ""severity"": ""warning"", ""type"": ""suppressed_legacy_false_positive"", ""word"": ""كَمَآ"", ""word_index"": 4}"
