ayah_id,surah_number,ayah_number,ayah_key,safe_to_persist,annotation_count,issue_count,low_confidence_count,emitted_rule_codes,exception
27,2,21,2:21,True,18,1,0,alif_lam_syamsiah|ghunnah|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra,
28,2,22,2:22,False,20,13,4,alif_lam_syamsiah|idgham_bighunnah|idgham_mutamatsilain|ikhfa_haqiqi|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|tafkhim_ra,
29,2,23,2:23,False,26,9,2,ghunnah|idgham_bighunnah|idgham_mutajanisain|idgham_mutamatsilain|ikhfa_haqiqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra|tafkhim_ra,
30,2,24,2:24,False,21,3,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|idgham_bilaghunnah|ikhfa_haqiqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|mad_silah_qasirah|tafkhim_ra,
31,2,25,2:25,False,34,1,1,alif_lam_syamsiah|ghunnah|idgham_bighunnah|idgham_bilaghunnah|idgham_mutamatsilain|ikhfa_haqiqi|izhar_halqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra|tarqiq_ra,TajwidAnnotationError: Render segment index 29 dimulai dengan combining mark.
32,2,26,2:26,False,29,21,0,ghunnah|idgham_bighunnah|idgham_mutajanisain|idgham_mutamatsilain|ikhfa_haqiqi|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|mad_silah_qasirah|tafkhim_lam_jalalah|tarqiq_ra,
33,2,27,2:27,False,21,2,0,alif_lam_qamariah|alif_lam_syamsiah|idgham_bighunnah|ikhfa_haqiqi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra|tafkhim_lam_jalalah|tafkhim_ra,
34,2,28,2:28,True,20,2,0,alif_lam_qamariah|ghunnah|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra|tarqiq_lam_jalalah,
35,2,29,2:29,False,16,5,0,alif_lam_syamsiah|ghunnah|idgham_mimi|idgham_mutamatsilain|ikhfa_haqiqi|izhar_halqi|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra|tafkhim_ra,
36,2,30,2:30,False,12,15,0,idgham_mutajanisain|idgham_mutamatsilain|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra,
